covariate_index,wamd_after
Xs428,0.0
Xs429,0.0
Xs430,0.0
Xs431,0.0
Xs432,0.02137241483401997
Xs433,0.0
Xs434,0.0
Xs435,0.0
Xs436,0.0
Xs437,0.0
Xs438,0.005648984104940642
Xs439,0.0
Xs440,0.0
Xs441,0.0
Xs442,0.0
Xs443,0.0
Xs444,0.0
Xs445,0.0
Xs446,0.0
Xs447,0.0
Xs448,0.0
Xs449,0.0
Xs450,0.0
Xs451,0.0013241903670181405
Xs452,0.0
Xs453,0.010634053366924131
Xs454,0.0
Xs455,0.0
Xs456,0.0
Xs457,0.0
Xs458,0.0009960991081570075
Xs459,0.0
Xs460,0.0007637766905865485
Xs461,0.0
Xs462,0.0
Xs463,0.0
Xs464,0.0
Xs465,0.0
Xs466,0.002997062758907404
Xs467,0.0
Xs468,0.0
Xs469,0.0
Xs470,0.0
