covariate_index,wamd_after
Xs66,0.0003192439937421122
Xs67,0.0006009222076564283
Xs68,0.0
Xs69,0.0026412215441091315
Xs70,0.0
Xs71,0.003987199069096813
Xs72,0.0
Xs73,0.0
Xs74,0.0
Xs75,0.0
Xs76,0.0
Xs77,0.002010557302719289
Xs78,0.0
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.0
Xs83,0.0
Xs84,0.0
Xs85,0.0
Xs86,0.0004960296185801448
Xs87,0.0
Xs88,0.0
Xs89,0.0
Xs90,0.0
Xs91,0.00022844139592245353
Xs92,0.0
Xs93,0.0
Xs94,0.0
Xs95,0.0
Xs96,0.0
Xs97,0.0
Xs98,0.0
Xs99,0.0
Xs100,0.0022826449768952395
Xs101,0.0
Xs102,0.0
Xs103,0.0
Xs104,0.0
Xs105,0.0
Xs106,0.0
Xs107,0.0051015588093961195
Xs108,0.005983892114583711
Xs109,0.0
Xs110,0.0
Xs111,0.004396318276697169
Xs112,0.0
Xs113,0.0
Xs114,0.0
Xs115,0.0
Xs116,0.0
Xs117,0.0
Xs118,0.0
Xs119,0.0
Xs120,3.575481103252279e-06
Xs121,0.0
Xs122,0.0
Xs123,0.0
Xs124,0.0
Xs125,0.0
Xs126,0.0
Xs127,0.0
Xs128,0.0
Xs129,0.0
Xs130,0.0
Xs131,0.0
Xs132,0.0
Xs133,0.0
Xs134,0.009107770126622197
Xs135,0.05742645756558333
Xs136,0.0
Xs137,0.0
Xs138,0.0
Xs139,0.0
Xs140,0.0
Xs141,0.0
Xs142,0.0
Xs143,0.005149919495278393
Xs144,0.0
Xs145,0.0
Xs146,0.0
Xs147,0.0
Xs148,0.0
Xs149,0.0
Xs150,0.0
Xs151,0.0
Xs152,0.0
Xs153,0.0
Xs154,0.0
Xs155,0.0
Xs156,0.0
Xs157,0.0
Xs158,0.0
Xs159,0.009582936977458162
Xs160,0.0
Xs161,0.0
Xs162,0.0002647102118560429
Xs163,0.0
Xs164,0.0009930053119303495
Xs165,0.004349064673732255
Xs166,0.0
Xs167,0.0
Xs168,0.0
Xs169,0.0
Xs170,0.0
Xs171,0.0
Xs172,0.0
Xs173,0.0
Xs174,0.007123856519285647
Xs175,0.0
Xs176,0.0
Xs177,0.0
Xs178,0.02493126597309875
Xs179,0.0
Xs180,0.0
Xs181,0.0
Xs182,0.0
Xs183,0.0
Xs184,0.0
Xs185,0.0
Xs186,0.0
Xs187,0.0
Xs188,0.0
Xs189,0.0
Xs190,0.0
Xs191,0.002061516509747193
Xs192,0.0
Xs193,0.0
Xs194,0.0
Xs195,0.0
Xs196,0.0
Xs197,0.0
Xs198,0.0
Xs199,0.0
Xs200,0.0
Xs201,0.0
Xs202,0.0
Xs203,0.0
Xs204,0.0
Xs205,0.0
Xs206,0.0
Xs207,0.0
Xs208,0.0
Xs209,0.0
Xs210,0.0
Xs211,0.0
Xs212,0.0
Xs213,0.0
Xs214,0.0
Xs215,0.05078112585412493
Xs216,0.0
Xs217,0.0
Xs218,0.0
Xs219,0.0
Xs220,0.0
Xs221,0.0
Xs222,0.0
Xs223,0.0
Xs224,0.0
Xs225,0.0
Xs226,0.0
Xs227,0.0
Xs228,0.0
Xs229,0.0
Xs230,0.0012076797466842083
Xs231,0.0
Xs232,0.017323483713570453
Xs233,0.0
Xs234,0.0
Xs235,0.0
Xs236,0.0
Xs237,0.0
Xs238,0.0
Xs239,0.0
Xs240,0.0
Xs241,0.0
Xs242,0.0
Xs243,0.0
Xs244,0.0
Xs245,0.00019892726292775775
Xs246,5.023241703729692e-05
Xs247,0.0
Xs248,0.0
Xs249,0.0
Xs250,0.039364181499712894
Xs251,0.0027407452007618825
Xs252,0.0
Xs253,0.0
Xs254,0.0007559535546794995
Xs255,0.0
Xs256,0.0
Xs257,0.0
Xs258,0.0
Xs259,0.0
Xs260,0.0
Xs261,0.0
Xs262,0.0
Xs263,0.0
Xs264,0.0
Xs265,0.0
Xs266,0.0
Xs267,0.0
Xs268,0.0
Xs269,0.0
Xs270,0.00041930731442340756
Xs271,0.0
Xs272,0.0
Xs273,0.0
Xs274,0.0
Xs275,0.0
Xs276,0.0
Xs277,0.0015483222216917964
Xs278,0.0
Xs279,0.0
Xs280,0.0
Xs281,0.0
Xs282,0.0002876739981125568
Xs283,0.0
Xs284,0.0
Xs285,0.0
Xs286,0.0
Xs287,0.0
Xs288,0.007091136447700227
Xs289,0.00046033168831001626
Xs290,0.0
Xs291,0.002785438820773565
Xs292,0.0
Xs293,0.0
Xs294,0.0
Xs295,0.0
Xs296,0.02041650062083951
Xs297,0.0
Xs298,0.0024978339306224264
Xs299,0.0
Xs300,0.004920571406651487
Xs301,0.0043011691510339775
Xs302,0.0
Xs303,0.0
Xs304,0.002272246357329858
Xs305,0.0008746282677057465
Xs306,0.0
Xs307,0.01068071518508877
Xs308,0.007067250873135542
Xs309,0.0
Xs310,0.0
Xs311,0.0
Xs312,0.0
Xs313,0.0005723034567395665
Xs314,0.00044201250187852223
Xs315,0.0025732195272284274
Xs316,0.0
Xs317,0.014111396647870889
Xs318,0.0
Xs319,0.0
Xs320,0.005467767416331147
Xs321,0.0
Xs322,0.009467279943496625
Xs323,0.0
Xs324,0.0
Xs325,0.0
Xs326,0.0
Xs327,0.0
Xs328,0.0
Xs329,0.0009680789523126103
Xs330,0.0
Xs331,0.0
Xs332,0.0
Xs333,0.0
Xs334,0.0
Xs335,0.0
Xs336,0.0
Xs337,0.0
Xs338,0.001515091906317647
Xs339,0.0
Xs340,0.0
Xs341,0.0
Xs342,0.0
Xs343,0.0
Xs344,0.0
Xs345,0.0
Xs346,0.006007798646197185
Xs347,0.002873013764085612
Xs348,0.0
Xs349,0.0009970724957381347
Xs350,0.0
Xs351,0.0
Xs352,5.260287717048422e-05
Xs353,0.004600772321702877
Xs354,0.0
Xs355,0.0037999380368163066
Xs356,0.0
Xs357,0.0
Xs358,0.0
Xs359,0.0
Xs360,0.0
Xs361,0.021476664794833636
Xs362,0.0
Xs363,0.0
Xs364,0.0
Xs365,0.0
Xs366,0.0
Xs367,0.0
Xs368,0.0
Xs369,0.0
Xs370,0.0
Xs371,0.0
Xs372,3.900292538209181e-05
Xs373,0.0
Xs374,0.0
Xs375,0.004213068893493748
Xs376,0.0015353197226342344
Xs377,0.0
Xs378,0.0
Xs379,0.003934438580289509
Xs380,0.0
Xs381,0.0
Xs382,0.0072448951256726905
Xs383,0.0
Xs384,0.0
Xs385,0.0
Xs386,0.0
Xs387,0.0
Xs388,0.0
Xs389,0.00027090598739286424
Xs390,0.0
Xs391,0.0
Xs392,0.0015290598154149007
Xs393,0.032601462885651564
Xs394,0.0
Xs395,0.0
Xs396,0.0
Xs397,0.0
Xs398,0.0
Xs399,0.0
Xs400,0.0
Xs401,0.0
Xs402,0.0
Xs403,0.0
Xs404,0.0
Xs405,0.0
Xs406,0.0
Xs407,0.0
Xs408,0.0
Xs409,0.0012019072388077298
Xs410,0.014355477523512803
Xs411,0.0025541021834395417
Xs412,0.0
Xs413,0.0
Xs414,0.0
Xs415,0.0
Xs416,0.0
Xs417,0.001265970853085366
Xs418,0.0
Xs419,0.0
Xs420,0.0
Xs421,0.0
Xs422,0.004726868014775687
Xs423,0.0
Xs424,0.0
Xs425,0.0
Xs426,0.0
Xs427,0.0
Xs428,0.0
Xs429,0.0
Xs430,0.0
Xs431,0.0
Xs432,0.0
Xs433,0.0
Xs434,0.0
Xs435,0.0
Xs436,0.0
Xs437,0.0
Xs438,0.0
Xs439,0.0
Xs440,9.610176497472432e-05
Xs441,0.0
Xs442,0.0
Xs443,0.0
Xs444,0.0
Xs445,0.0004196703847024075
Xs446,0.0
Xs447,0.0
Xs448,0.0
Xs449,0.0
Xs450,0.0
Xs451,0.0
Xs452,0.0
Xs453,0.0
Xs454,0.00011890721786823436
Xs455,0.0
Xs456,0.0046858594241198466
Xs457,0.0008307245698968073
Xs458,0.0
Xs459,0.0
Xs460,0.0
Xs461,0.0
Xs462,0.0
Xs463,0.0
Xs464,0.0
Xs465,0.0
Xs466,0.0
Xs467,0.0
Xs468,0.0
Xs469,0.0
Xs470,0.0
