covariate_index,wamd_after
Xc1,0.4305794886664172
Xc2,0.1604453968183116
Xc3,0.0745803089189549
Xc4,0.19263918580552733
Xc5,0.33762527856391056
Xc6,0.33385711574515103
Xc7,0.32696342962159225
Xc8,0.23673384252171067
Xc9,0.18269583401819808
Xc10,0.17409415414168106
Xp1,0.3454777720270079
Xp2,0.5016680998497671
Xp3,0.2651709457203425
Xp4,0.05832665750926011
Xp5,0.06962083875477838
Xp6,0.265832492504649
Xp7,0.2516317205052267
Xp8,0.3351430769235413
Xp9,0.05716989416467137
Xp10,0.0661008485007878
Xi1,0.0
Xi2,0.0
Xi3,0.0
Xi4,0.048744205875906124
Xi5,0.0
Xi6,0.05542157677885903
Xi7,0.0
Xi8,0.08097661373852368
Xi9,0.0
Xi10,0.0006121994310872294
Xs1,0.0
Xs2,0.0
Xs3,0.0
Xs4,0.0
Xs5,0.0
Xs6,0.0
Xs7,0.0
Xs8,0.0
Xs9,0.06358547660146145
Xs10,0.0
Xs11,0.0
Xs12,0.0
Xs13,0.0013566051086624684
Xs14,0.0
Xs15,0.0
Xs16,0.0
Xs17,0.0
Xs18,0.0
Xs19,0.17042754066366567
Xs20,0.0
Xs21,0.0
Xs22,0.0
Xs23,0.0
Xs24,0.0
Xs25,0.0
Xs26,0.05343244190230006
Xs27,0.0
Xs28,0.0
Xs29,0.0
Xs30,0.0
Xs31,0.0
Xs32,0.0
Xs33,0.0
Xs34,0.0
Xs35,0.0
Xs36,0.009776727777790413
Xs37,0.0
Xs38,0.039756578116477904
Xs39,0.0
Xs40,0.0
Xs41,0.0
Xs42,0.0
Xs43,0.1268626972827654
Xs44,0.0
Xs45,0.0
Xs46,0.0
Xs47,0.07283202735714442
Xs48,0.0
Xs49,0.007821578553324592
Xs50,0.0
Xs51,0.009842570752113552
Xs52,0.0
Xs53,0.0
Xs54,0.0
Xs55,0.013376553604308873
Xs56,0.0
Xs57,0.0
Xs58,0.0
Xs59,0.0
Xs60,0.0
Xs61,0.08371334200578626
Xs62,0.0
Xs63,0.0
Xs64,0.03680468531544444
Xs65,0.0
Xs66,0.0
Xs67,0.0
Xs68,0.0
Xs69,0.0
Xs70,0.0
Xs71,0.0
Xs72,0.05564995570502219
Xs73,0.0
Xs74,0.0
Xs75,0.0
Xs76,0.0628754693071691
Xs77,0.0
Xs78,0.03941534653001614
Xs79,0.0
Xs80,0.0
Xs81,0.0
Xs82,0.0
Xs83,0.0
Xs84,0.0
Xs85,0.0
Xs86,0.0
Xs87,0.0
Xs88,0.0
Xs89,0.0
Xs90,0.0
Xs91,0.0
Xs92,0.0
Xs93,0.0
Xs94,0.0
Xs95,0.0
Xs96,0.021205823910438567
Xs97,0.0
Xs98,0.0
Xs99,0.018572583054119934
Xs100,0.0
Xs101,0.0
Xs102,0.0
Xs103,0.0008103850491596899
Xs104,0.0
Xs105,0.0
Xs106,0.0
Xs107,0.05840700017188328
Xs108,0.10272239025031614
Xs109,0.0
Xs110,0.0
Xs111,0.0405820925715345
Xs112,0.0
Xs113,0.0
Xs114,0.0
Xs115,0.0
Xs116,0.0
Xs117,0.0
Xs118,0.0
Xs119,0.0
Xs120,0.0014301953814378065
Xs121,0.0
Xs122,0.07865764213860593
Xs123,0.0
Xs124,0.0
Xs125,0.0
Xs126,0.0
Xs127,0.0
Xs128,0.0
Xs129,0.0
Xs130,0.0
Xs131,0.0
Xs132,0.0
Xs133,0.03580576622262959
Xs134,0.030480313652100386
Xs135,0.0
Xs136,0.0
Xs137,0.0
Xs138,0.017830694281421873
Xs139,0.0
Xs140,0.0
Xs141,0.0
Xs142,0.0
Xs143,0.0
Xs144,0.0
Xs145,0.0
Xs146,0.0
Xs147,0.0
Xs148,0.0
Xs149,0.0
Xs150,0.0
Xs151,0.0
Xs152,0.0
Xs153,0.0543077641997309
Xs154,0.0
Xs155,0.0
Xs156,0.0
Xs157,0.0
Xs158,0.0
Xs159,0.0
Xs160,0.0
Xs161,0.0
Xs162,0.015092501209523027
Xs163,0.0
Xs164,0.0
Xs165,0.0
Xs166,0.0
Xs167,0.0
Xs168,0.0
Xs169,0.0
Xs170,0.0
Xs171,0.0
Xs172,0.0
Xs173,0.025830276667532147
Xs174,0.0
Xs175,0.0
Xs176,0.0
Xs177,0.0
Xs178,0.0
Xs179,0.0
Xs180,0.0
Xs181,0.0
Xs182,0.0
Xs183,0.10258983613385202
Xs184,0.0
Xs185,0.0
Xs186,0.0
Xs187,0.0
Xs188,0.0
Xs189,0.0
Xs190,0.0
Xs191,0.0
Xs192,0.11066693279563046
Xs193,0.0
Xs194,0.0
Xs195,0.0
Xs196,0.0
Xs197,0.0
Xs198,0.0
Xs199,0.0
Xs200,0.0
Xs201,0.0
Xs202,0.0
Xs203,0.0
Xs204,0.0
Xs205,0.0
Xs206,0.0
Xs207,0.012349649403276548
Xs208,0.09172852937768146
Xs209,0.0
Xs210,0.0
Xs211,0.0
Xs212,0.0
Xs213,0.0
Xs214,0.0
Xs215,0.06449093526368703
Xs216,0.0
Xs217,0.0
Xs218,0.0
Xs219,0.0
Xs220,0.0
Xs221,0.0
Xs222,0.0
Xs223,0.0
Xs224,0.0
Xs225,0.0
Xs226,0.0
Xs227,0.0
Xs228,0.0
Xs229,0.0
Xs230,0.0
Xs231,0.0
Xs232,0.0
Xs233,0.1446727918550168
Xs234,0.0
Xs235,0.02595137621036546
Xs236,0.01997464615052886
Xs237,0.0
Xs238,0.0
Xs239,0.0
Xs240,0.0
Xs241,0.0
Xs242,0.0
Xs243,0.0
Xs244,0.05386505576437038
Xs245,0.0
Xs246,0.0
Xs247,0.008012376388443898
Xs248,0.0
Xs249,0.0
Xs250,0.0
Xs251,0.0
Xs252,0.0
Xs253,0.0
Xs254,0.0
Xs255,0.0
Xs256,0.0
Xs257,0.025448401020063825
Xs258,0.0
Xs259,0.0
Xs260,0.0
Xs261,0.0
Xs262,0.0
Xs263,0.0
Xs264,0.0
Xs265,0.0
Xs266,0.0
Xs267,0.0
Xs268,0.0
Xs269,0.0
Xs270,0.0
Xs271,0.011358859009843
Xs272,0.03684060632977136
Xs273,0.0
Xs274,0.0
Xs275,0.0
Xs276,0.0
Xs277,0.0
Xs278,0.0
Xs279,0.0
Xs280,0.026444526969599404
Xs281,0.0
Xs282,0.0
Xs283,0.02503543181869601
Xs284,0.0
Xs285,0.0
Xs286,0.0
Xs287,0.0
Xs288,0.2067843200020577
Xs289,0.0
Xs290,0.0
Xs291,0.0
Xs292,0.0
Xs293,0.07506753110376187
Xs294,0.0
Xs295,0.0
Xs296,0.0
Xs297,0.0
Xs298,0.051130795911615956
Xs299,0.0
Xs300,0.0
Xs301,0.0
Xs302,0.0
Xs303,0.00081421341890124
Xs304,0.0
Xs305,0.0
Xs306,0.0
Xs307,0.0376661769176499
Xs308,0.0
Xs309,0.0
Xs310,0.0
Xs311,0.0
Xs312,0.0
Xs313,0.0
Xs314,0.0
Xs315,0.0
Xs316,0.0
Xs317,0.0
Xs318,0.0
Xs319,0.0
Xs320,0.0
Xs321,0.0
Xs322,0.0
Xs323,0.0
Xs324,0.0
Xs325,0.0
Xs326,0.0
Xs327,0.0
Xs328,0.0
Xs329,0.0
Xs330,0.0
Xs331,0.2222447381399658
Xs332,0.0
Xs333,0.0
Xs334,0.0
Xs335,0.0
Xs336,0.0
Xs337,0.0
Xs338,0.0
Xs339,0.0
Xs340,0.0
Xs341,0.06620125737126355
Xs342,0.0
Xs343,0.0
Xs344,0.0
Xs345,0.0
Xs346,0.0
Xs347,0.0
Xs348,0.060407501605796665
Xs349,0.05221162410118925
Xs350,0.0
Xs351,0.0
Xs352,0.0
Xs353,0.0
Xs354,0.0
Xs355,0.0
Xs356,0.014645009555948977
Xs357,0.0
Xs358,0.0
Xs359,0.0
Xs360,0.0
Xs361,0.0
Xs362,0.0
Xs363,0.0
Xs364,0.2000328045531197
Xs365,0.009687312368502015
Xs366,0.0
Xs367,0.0
Xs368,0.0
Xs369,0.0
Xs370,0.0
Xs371,0.0
Xs372,0.0
Xs373,0.0
Xs374,0.0
Xs375,0.0
Xs376,0.0
Xs377,0.0
Xs378,0.0
Xs379,0.0
Xs380,0.0
Xs381,0.0
Xs382,0.0
Xs383,0.0
Xs384,0.0
Xs385,0.05849272328235428
Xs386,0.016812955405272556
Xs387,0.0
Xs388,0.0
Xs389,0.0
Xs390,0.015169527576828594
Xs391,0.0
Xs392,0.013389742460478743
Xs393,0.0
Xs394,0.0
Xs395,0.0
Xs396,0.0
Xs397,0.10132539283415044
Xs398,0.0
Xs399,0.0
Xs400,0.0
Xs401,0.0
Xs402,0.01862357585672275
Xs403,0.0
Xs404,0.0
Xs405,0.0
Xs406,0.0
Xs407,0.03241412257199485
Xs408,0.0844001055167722
Xs409,0.0
Xs410,0.0
Xs411,0.0
Xs412,0.0
Xs413,0.0
Xs414,0.0
Xs415,0.0
Xs416,0.0
Xs417,0.0
Xs418,0.0
Xs419,0.0
Xs420,0.0
Xs421,0.0
Xs422,0.0
Xs423,0.0
Xs424,0.0
Xs425,0.05026219074411305
Xs426,0.0
Xs427,0.0
Xs428,0.0
Xs429,0.0
Xs430,0.0
Xs431,0.0
Xs432,0.0
Xs433,0.0
Xs434,0.0
Xs435,0.0
Xs436,0.0
Xs437,0.0
Xs438,0.0
Xs439,0.0
Xs440,0.0
Xs441,0.0
Xs442,0.0
Xs443,0.0
Xs444,0.0
Xs445,0.0
Xs446,0.0
Xs447,0.0
Xs448,0.0
Xs449,0.0
Xs450,0.034580181847011886
Xs451,0.0
Xs452,0.0
Xs453,0.0
Xs454,0.0
Xs455,0.006672291175096302
Xs456,0.0
Xs457,0.0
Xs458,0.0
Xs459,0.0
Xs460,0.0
Xs461,0.0
Xs462,0.0
Xs463,0.005145203743238683
Xs464,0.03499287973104269
Xs465,0.0
Xs466,0.0
Xs467,0.0
Xs468,0.0
Xs469,0.0
Xs470,0.0
